Number of doors,Tipo di corpo,CO2 emissions,Luggage compartment volume,Dimensioni e Peso,Front Terrain Angle,Motore e trasporzione,Equipamento,Turning circle diameter,Rubber size,Acceleration from 0 to 100 km/h,Production period,Wading depth,Drive,Ground clearance,Payload,Number of cylinders,Cylinder Arrangement,Cylinder capacity,Length,Rear Terrain Angle,Category,Exports,Department of Environmental Protection,Altitude,Maximum Torque,Maximum power,On-road consumption,Performace,Ramp angle,Own weight,Gearbox,Number of persons to be transported,Width,Wheelbase,Mixed consumption,Urban consumption,Top speed,Total weight,Modern price,Fuel,Fuel tank
3 doors,Non disponibile,244 g/km,494 l,Non disponibile,Non disponibile,Non disponibile,"Interior boot lid, Safety belts, Rear: 3-point automatic, Seat belts: automatic height adjustment, Seat belt tensioning system, Power windows front, Head restraints front and rear [4 pcs],, Braking system: Anti-lock braking system [ABS],, Headlight adjustment from inside, electric, Headlight washer system, Tachometer, Rear wiper, Starter lock, Information system: On-board computer, Upholstery: fabric, Armrest front with drawer/load compartment, Rear armrest,, Catalytic converter,, Steering wheel: height and distance control, Remote central locking, External temperature sensor, Electrically adjustable and heated exterior mirrors,, Airbag for driver and passenger side, Side airbags front,,, Microfilter [dust and pollen filter],, Instrument panel: Night panel, Reading light rear, Spare brake light [third brake light],, Alarm system,, Gear lever: lockable in reverse gear, Transmission: 4-speed automatic, Ski storage bag, Spoiler rear,, Power steering,, Tinted windows: light and thermal protection, Seats rear: foldable and divisible, Impact protection: side braces in the doors, Emergency devices in body color, Emergency devices: energy-absorbing front and rear, Seats: lumbar support adjustment at the driver's seat, three-way adjustable front seats",Non disponibile,195/60 R15,10.0 s,2000-2001,Non disponibile,Front wheel,Non disponibile,515 kg,4 cylinders,Soros,"1,985 cm³",4 629 mm,Non disponibile,Mid-range,Hatchback,Non disponibile,1.428mm,240 Nm,"110 kW, 150 HP","7,5 l/100km",Non disponibile,Non disponibile,1 325 kg,Automatic (4-speed) transmission,5 persons,1 936 mm,2 605 mm,"10,2 l/100km",14.8 l/100km,210 km/h,1 840 kg,7 167 000 HUF,Gasoline,64 l
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1978-1985,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,994 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"85 kW, 116 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1982-1985,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,1 438 cm³,Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"55 kW, 75 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1966-1974,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,843 cm³,Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"35 kW, 48 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1970-1975,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,903 cm³,Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"38 kW, 52 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1970-1978,Non disponibile,Rear wheel,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1 000 cm³,Non disponibile,Non disponibile,Small cars,Sedan,Non disponibile,Non disponibile,Non disponibile,"32 kW, 44 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,165/80 R13,Non disponibile,1977-1983,Non disponibile,Rear wheel,Non disponibile,420 kg,4 cylinders,Soros,1 038 cm³,Non disponibile,Non disponibile,Lower middle category,Sedan,Non disponibile,Non disponibile,Non disponibile,"34 kW, 46 HP",Non disponibile,Non disponibile,Non disponibile,880 kg,Manual (4-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"1,300 kg",Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Headrests [2 pcs],Non disponibile,165/80 R13,Non disponibile,1983-1988,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Soros,1 046 cm³,Non disponibile,Non disponibile,Lower middle category,Sedan,Non disponibile,Non disponibile,Non disponibile,"34 kW, 46 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1969-1982,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,1 099 cm³,Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"35 kW, 48 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
5 doors,Non disponibile,127 g/km,268 l,Non disponibile,Non disponibile,Non disponibile,"Power windows front, Head restraints front and rear [4 pcs],, Brake system: Anti-lock braking system [ABS],, Tachometer, Rear wiper washer system, Starter lock, Upholstery: fabric,, Anti-traction control [ASR],, Central locking with remote control, Exterior mirrors: interior adjustment,, Airbag on driver and passenger side, Side airbags front,, Cup holder front, Transmission: sequential 6-speed, Automatic,, Power steering: electric,, Tinted windows, Seats: fold-down second row, Seats rear: split with adjustable seat backrest, split sliding",Non disponibile,175/65 R14,15.3 seconds,2005-2006,Non disponibile,Front wheel,Non disponibile,485 kg,3 cylinders,Soros,"1,124 cm³",3.752 mm,Non disponibile,Small cars,Hatchback,EURO 4,1 450 mm,92 Nm,"47 kW, 64 HP","4,5 l/100km",Non disponibile,Non disponibile,970 kg,Sequential (6-speed) gearbox,4 persons,1 684 mm,2 500 mm,"5,4 l/100km",6.9 l/100km,158 km/h,1 455 kg,3 118 500 Ft,Gasoline,47 l
5 doors,Non disponibile,Non disponibile,268 l,Non disponibile,Non disponibile,Non disponibile,"Power windows front, Head restraints front and rear [4 pcs],, Brake system: Anti-lock braking system [ABS],, Tachometer, Rear wiper washer system, Starter lock, Upholstery: fabric,, Anti-traction control [ASR],, Central locking with remote control, Exterior mirrors: interior adjustment,, Airbag on driver and passenger side, Side airbags front,, Cup holder front, Transmission: sequential 6-speed, Automatic,, Power steering: electric,, Tinted windows, Seats: fold-down second row, Seats rear: split with adjustable seat backrest, split sliding",Non disponibile,175/65 R14,13.4 seconds,2005-2006,Non disponibile,Front wheel,Non disponibile,485 kg,3 cylinders,Soros,"1,124 cm³",3.752 mm,Non disponibile,Small cars,Hatchback,EURO 4,1 450 mm,100 Nm,"55 kW, 75 HP",Non disponibile,Non disponibile,Non disponibile,970 kg,Sequential (6-speed) gearbox,4 persons,1 684 mm,2 500 mm,Non disponibile,Non disponibile,165 km/h,1 455 kg,3 632 500 Ft,Gasoline,47 l
5 doors,Non disponibile,Non disponibile,268 l,Non disponibile,Non disponibile,Non disponibile,"Power windows front, Head restraints front and rear [4 pcs],, Brake system: Anti-lock braking system [ABS],, Tachometer, Rear wiper washer system, Starter lock,, Stability program: ESP [Electronic Stability Program],, Upholstery: fabric,, Traction Anti-lock braking system [ASR],, Remote central locking, Exterior rear-view mirrors: interior adjustable, Air conditioning [AC],, Airbag on driver and passenger side, Side airbags front,, Cup holder front, Transmission: sequential 6-speed, with automatic function,, Servo Steering gear: electric,, Tinted glass, Seats: fold-down second row of seats, Seats rear: divisional, with adjustable backrest, split sliding",Non disponibile,195/50 R15,13.4 seconds,2004-2006,Non disponibile,Front wheel,Non disponibile,485 kg,3 cylinders,Soros,"1,124 cm³",3.752 mm,Non disponibile,Small cars,Hatchback,EURO 4,1 450 mm,100 Nm,"55 kW, 75 HP",Non disponibile,Non disponibile,Non disponibile,970 kg,Sequential (6-speed) gearbox,4 persons,1 684 mm,2 500 mm,Non disponibile,Non disponibile,165 km/h,1 455 kg,3 866 100 Ft,Gasoline,47 l
5 doors,Non disponibile,Non disponibile,268 l,Non disponibile,Non disponibile,Non disponibile,"Power windows front, Head restraints front and rear [4 pcs],, Brake system: Anti-lock braking system [ABS],, Tachometer, Rear wiper washer system, Starter lock,, Stability program: ESP [Electronic Stability Program],, Upholstery: fabric,, Traction Anti-roll bar [ASR],, Leather shift lever, Alloy wheels: 15', Locking system with remote control, Exterior rear-view mirrors: adjustable from inside, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front,, Cup holder Front, Transmission: sequential 6-speed, with automatic function,, Power steering: electric,, Tinted windows, Roof design: Panorama glass roof, Lighting: fog lights front, Seats rear: divisional, adjustable backrest, Split sliding, Seats: height-adjustable driver's seat, folding second row of seats",Non disponibile,195/50 R15,13.4 seconds,2004-2006,Non disponibile,Front wheel,Non disponibile,485 kg,3 cylinders,Soros,"1,124 cm³",3.752 mm,Non disponibile,Small cars,Hatchback,EURO 4,1 450 mm,100 Nm,"55 kW, 75 HP",Non disponibile,Non disponibile,Non disponibile,970 kg,Sequential (6-speed) gearbox,4 persons,1 684 mm,2 500 mm,Non disponibile,Non disponibile,165 km/h,1 455 kg,4 188 400 Ft,Gasoline,47 l
5 doors,Non disponibile,207 g/km,Non disponibile,Non disponibile,29.0º,Non disponibile,"12V connection, Front seat belts: three-point automatic, Trunk blinds and net, Power windows front to rear, Power transmission: All-wheel-drive [4WD],, ASR [traction control],, Headrests front to rear [5 pcs],, Braking system: Anti-lock braking system ABS,, Headlight adjustment, Electric, Tachometer, Warranty: 3 years/100000 km, Rear wiper system, Starter lock, Information system: On-board computer, Upholstery: fabric, Front armrest with beverage holder, Leather gear lever, Steering column: height-adjustable , Alloy wheels: 16', Locking system with remote control, Electrically adjustable and heated exterior mirrors, Air-conditioning [AC],, Airbag on driver and passenger side,, Front cup holder, Spare brake light [third brake], Steering column control radio available,, Alarm system,, Transmission: 5-speed manual, Windscreen: heated,, Power steering,, Tinted windows: tinted glass in the passenger compartment, Rear seats: dimmable, Adjustable backrest, Seat heating: heated seats front, Lighting: fog lights front l, Seats: adjustable height driver's seat, lumbar support can be adjusted in the driver's seat",Non disponibile,225/75 R16,15.0 seconds,2006-2010,Non disponibile,All-wheel,Non disponibile,750 kg,4 cylinders,Soros,"1,998 cm³",4 455 mm,26.0º,Off-road vehicle,City SUV (crossover),EURO 4,"1,735 mm",310 Nm,"104 kW, 141 HP",6.3 l/100km,Non disponibile,20.0º,1 780 kg,Manual (5-speed) transmission,5 persons,1 880 mm,2 740 mm,"7,8 l/100km","10,4 l/100km",163 km/h,2 530 kg,5 990 000 HUF,Diesel,75 l
5 doors,Non disponibile,207 g/km,Non disponibile,Non disponibile,29.0º,Non disponibile,"12V connection, Front seat belts: three-point automatic, Trunk blinds and net, Power windows front to rear, Power transmission: All-wheel-drive [4WD],, ASR [traction control],, Headrests front to rear [5 pcs],, Braking system: Anti-lock braking ABS,, Headlight adjustment from inside, electric, Speedometer, Curtain airbag [windowbag] front to rear, Warranty: 3 years/100000 km, Rear wiper system, Starter lock, Information system: On-board computer, Upholstery: leather, Front armrest with drink holder, Leather gear gear lever , Steering column: height adjustable, Alloy wheels: 16', Remote central locking system, Exterior rear-view mirrors electrically adjustable and heated, Exterior mirrors electrically operated, Air-conditioning [ACC] automatic,, Airbags on driver and passenger side,, Cup holder front, Spare brake light [third brake light], Radio with steering column control,, Alarm system,, Transmission: 5-speed mechanical, Windshield: heated,, Power steering,, Tinted windows: tinted glass in the passenger compartment, Ultrasonic parking control system rear, Seat rear: divisional, with adjustable backrest, Seat heating: heated seats front, Lighting: fog lights front, Seats: height-adjustable driver's seat, lumbar support adjustment at the driver's seat",Non disponibile,225/75 R16,15.0 seconds,2006-2010,Non disponibile,All-wheel,Non disponibile,750 kg,4 cylinders,Soros,"1,998 cm³",4 455 mm,26.0º,Off-road vehicle,City SUV (crossover),EURO 4,"1,735 mm",310 Nm,"104 kW, 141 HP",6.3 l/100km,Non disponibile,20.0º,1 780 kg,Manual (5-speed) transmission,5 persons,1 880 mm,2 740 mm,"7,8 l/100km","10,4 l/100km",163 km/h,2 530 kg,6 850 000 HUF,Diesel,75 l
4 doors,Non disponibile,231 g/km,Non disponibile,Non disponibile,"34,6º",Non disponibile,"Power windows front, Transmission: All-wheel-drive [4WD], Head restraints front-rear [5 pcs],, Brake system: Anti-lock braking system [ABS],, Polishing: white -Grand White- [non-metallic], Headlight distance adjustment from inside, Tachometer, Starting Locking system, Upholstery: fabric, Armrest front, Steering column: height adjustable, Alloy wheels: 16', Locking system, Exterior mirrors electrically adjustable and heated on the right side, Exterior mirrors electrically adjustable, Air-conditioning [AC], Airbag for driver-and passenger side,, Cup holder front, Spare wheel: standard alloy wheels, Radio with steering column control, Cargo cover, Transmission: 4-speed automatic, Windshield: heated,, Power steering,, Tinted windows, Seats: height-adjustable driver's seat with backrest, Lighting: rope headlights front",Non disponibile,225/75 R16,Non disponibile,2007-2010,300mm,All-wheel,Non disponibile,806 kg,4 cylinders,Soros,"1,998 cm³",4 965 mm,Non disponibile,Light commercial vehicle,Double cab chassis,Non disponibile,1 755 mm,310 Nm,"104 kW, 141 HP","7,1 l/100km",Non disponibile,Non disponibile,"1,934 kg",Automatic (4-speed) transmission,5 persons,1 900 mm,3 060 mm,"8,7 l/100km",11.4 l/100km,164 km/h,2 740 kg,6 675 000 HUF,Diesel,Non disponibile
4 doors,Non disponibile,213 g/km,Non disponibile,Non disponibile,35.4º,Non disponibile,"Power windows front, Transmission: All-wheel-drive [4WD], Head restraints front-rear [5 pcs],, Brake system: Anti-lock braking system [ABS],, Polishing: white -Grand White- [non-metallic], Headlight distance adjustment from inside, Tachometer, Starting Locking system, Upholstery: leather, Armrest front, Leather shift lever, Steering column: height adjustable, Alloy wheels: 16', Centre lock, Exterior mirrors electrically adjustable and heated on the right side, Outside rear-view mirrors electrically folded, Air conditioning Equipment [ACC] Automatic,, Airbag for driver/passenger side,, Cup holder front, Spare wheel: standard alloy wheels, Radio with steering column control, Cargo cover,, Remote alarm system,, Transmission: 5-speed manual, Windshield: heated,, Power steering,, Tinted glass seats, Ultrasonic parking control system rear, Seats: height-adjustable driver's seat with backrest, Lighting: fog lights front",Non disponibile,225/75 R16,Non disponibile,2007-2010,300mm,All-wheel,Non disponibile,828 kg,4 cylinders,Soros,"1,998 cm³",4 965 mm,Non disponibile,Light commercial vehicle,Double cab chassis,Non disponibile,1 755 mm,310 Nm,"104 kW, 141 HP","6,2 l/100km",Non disponibile,Non disponibile,"1,912 kg",Manual (5-speed) transmission,5 persons,1 900 mm,3 060 mm,"8,0 l/100km","11,1 l/100km",161 km/h,2 740 kg,7 037 500 Ft,Diesel,Non disponibile
5 doors,Non disponibile,294 g/km,525 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Seat belts front: three-point automatic, CD changer, Tilt sensor, Power windows front to rear,, Power transmission: permanent all-wheel drive [4WD],, Headrests front to rear [5 pcs],, Braking system: Anti-lock braking system [ABS],, Polishing: metal/mica, Headlight adjustment from inside, electric, Speedometer, Front to rear curtain airbag, Speakers [9 pcs], Rear wiper system, Starter lock,, Stability control: ESP [Electronic Stability Program],, Upholstery: leather, Armrest front and rear, Traction control [ ASR],, leather-coated gear lever, Steering column: height-adjustable, Alloy wheels: 18', Remote central locking, Exterior mirrors electrically adjustable and heated, Exterior mirrors electrically folded, Air conditioning [ACC] automatic,, Airbag on driver's and passenger's side, Side airbags front,, Cup holder front, Spare brake light [third brake light], Radio with steering wheel, Cruise control [cruise control], Windscreen: heated,, Power steering,, Tinted windows, Ultrasonic parking control rear, Seats rear: divisional, with adjustable backrest, Seats: electrically adjustable front seats with electric backrest, Programmable driver's seat, Seat heating: heated seats front, Impact protection: circular, Glass sunroof, Electric, Lighting: fog lights front, Information system: on-board base computer, navigation system with DVD",11m,255/55 R18,9.3 seconds,2006-2008,Non disponibile,All-wheel,213 mm,661 kg,6 cylinders,Boxer,3 000 cm³,4 857 mm,Non disponibile,Off-road vehicle,City SUV (crossover),EURO 4,1 686 mm,297 Nm,"180 kW, 245 HP","9,5 l/100km",Non disponibile,Non disponibile,1.925 kg,Automatic (5-speed tiptronic) transmission,5 persons,1 878 mm,"2,749 mm",12.3 l/100km,17.1 l/100km,195 km/h,2 586 kg,13 770 000 Ft,Gasoline,64 l
5 doors,Non disponibile,277 g/km,525 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Seat belts front: three-point automatic, CD changer, Tilt sensor, Power windows front to rear,, Power transmission: permanent all-wheel drive [4WD],, Headrests front to rear [5 pcs],, Braking system: Anti-lock braking system [ABS],, Polishing: metal/mica, Headlight adjustment from inside, electric, tachometer, curtain airbag [windowbag] front and rear, Speakers [9 pcs], Rear wiper system, Ignition lock, Information system: on-board computer,, Stability control: ESP [electric vehicle stabilization program],, Upholstery: fabric, Armrest front and rear,, Anti-Slip Regulation (ASR),, Leather shift lever, Steering column: height adjustable, Alloy wheels: 18', Remote central locking, Exterior rear-view mirrors electrically adjustable and heated, Exterior rear view mirror electric folding mirrors, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front,, Cup holder front, Spare brake light [third brake light], Radio with steering wheel, Cruise control [cruise control], Windscreen: heated,, Mechanical Power steering,, Tinted windows, Seat rear: divisional, with adjustable backrest, Seat heating: heated seats front, Crash protection: circular, Lighting: fog lights front, Seats: 8-way electrically adjustable passenger seat with lumbar support, 8-way electrically adjustable driver's seat with instrument support",11m,255/55 R18,8.9 seconds,2008-2010,Non disponibile,All-wheel,213 mm,705 kg,6 cylinders,Boxer,"3,630 cm³",4 865 mm,Non disponibile,Off-road vehicle,City SUV (crossover),EURO 4,1 720 mm,350 Nm,"190 kW, 258 HP","9,0 l/100km",Non disponibile,Non disponibile,1.881 kg,Automatic (5-speed tiptronic) transmission,5 persons,1 880 mm,2 750 mm,11.6 l/100km,16.2 l/100km,207 km/h,2 586 kg,13 800 000 HUF,Gasoline,64 l
5 doors,Non disponibile,277 g/km,525 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Seat belts front: three-point automatic, CD changer, Tilt sensor, Power windows front to rear,, Power transmission: permanent all-wheel drive [4WD],, Headrests front to rear [7 pcs],, Braking system: Anti-lock braking system [ABS],, Polishing: metal/mica, Headlight adjustment from inside, Electric, Speedometer, Front to rear curtain airbag, Speakers [9 pcs], Rear wiper system, Starter lock,, Stability control: ESP [Electronic Stability Program],, Upholstery: leather, Armrest front to rear, Traction control [ ASR],, leather-coated gear lever, Steering column: height-adjustable, Alloy wheels: 18', Remote central locking, Exterior mirrors electrically adjustable and heated, Exterior mirrors electrically folded, Air conditioning [ACC] automatic,, Airbag on driver and passenger side, Side airbags front,, Multimedia system with DVD, Cup holder front, Spare brake light [third brake light], Radio with steering wheel, Cruise control [cruise control], Windshield: heated,, Power steering,, Tinted windows, Ultrasonic Parking control system rear, Seat rear: divisional, Adjustable backrest, Seat heating: heated seats front, Crash protection: circular, Glass sunroof, Electric, Lighting: fog lamps front, Information system: On-board computer, Navigation system with DVD, Seats: 7 seats, electrically adjustable front seats with electric backrest, programmable driver's seat",11m,255/55 R18,8.9 seconds,2008-2010,Non disponibile,All-wheel,213 mm,678 kg,6 cylinders,Boxer,"3,630 cm³",4 865 mm,Non disponibile,Off-road vehicle,City SUV (crossover),EURO 4,1 720 mm,350 Nm,"190 kW, 258 HP","9,0 l/100km",Non disponibile,Non disponibile,1 908 kg,Automatic (5-speed tiptronic) transmission,7 persons,1 880 mm,2 750 mm,11.6 l/100km,16.2 l/100km,207 km/h,2 586 kg,15 990 000 HUF,Gasoline,64 l
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2004-2006,Non disponibile,All-wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"2,458 cm³",Non disponibile,Non disponibile,Non disponibile,Pickup,Non disponibile,Non disponibile,Non disponibile,"123 kW, 167 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2016—,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1 cylinder,Lying,113 cm³,1.845mm,Non disponibile,Non disponibile,Scooter,Non disponibile,Non disponibile,9 Nm,"7 kW, 10 HP",Non disponibile,Non disponibile,Non disponibile,97 kg,Stepless automatic transmission,Non disponibile,665 mm,"1,260mm",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
3 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,145/70 SR12,20.5 seconds,1983-1985,Non disponibile,Front wheel,Non disponibile,300 kg,3 cylinders,Soros,790 cm³,3 295 mm,Non disponibile,Mini-cars,Hatchback,Non disponibile,1 335 mm,59 Nm,"29 kW, 39 HP",Non disponibile,Non disponibile,Non disponibile,630 kg,Manual (4-speed) transmission,4 persons,1 395 mm,2 150 mm,Non disponibile,Non disponibile,125 km/h,930 kg,Non disponibile,Gasoline,35 l
3 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,145/70 SR12,20.5 seconds,1986-1992,Non disponibile,Front wheel,Non disponibile,370 kg,3 cylinders,Soros,790 cm³,"3,300 mm",Non disponibile,Mini-cars,Hatchback,Non disponibile,1 410 mm,59 Nm,"29 kW, 39 HP",Non disponibile,Non disponibile,Non disponibile,630 kg,Manual (4-speed) transmission,4 persons,1 405 mm,2 175 mm,Non disponibile,Non disponibile,130 km/h,1000 kg,Non disponibile,Gasoline,35 l
5 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,145/70 SR12,20.5 seconds,1986-1992,Non disponibile,Front wheel,Non disponibile,390 kg,3 cylinders,Soros,790 cm³,"3,300 mm",Non disponibile,Mini-cars,Hatchback,Non disponibile,1 410 mm,59 Nm,"29 kW, 39 HP",Non disponibile,Non disponibile,Non disponibile,610 kg,Manual (4-speed) transmission,4 persons,1 405 mm,2 175 mm,Non disponibile,Non disponibile,130 km/h,1000 kg,Non disponibile,Gasoline,35 l
5 doors,Non disponibile,Non disponibile,425 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2019—,Non disponibile,All-wheel,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,4 694 mm,Non disponibile,Mid-range,Hatchback,Non disponibile,1.443 mm,500 Nm,"258 kW, 351 hp",Non disponibile,Non disponibile,Non disponibile,2 242 kg,Stepless automatic transmission,5 persons,1 849 mm,2 875 mm,Non disponibile,Non disponibile,Non disponibile,"2,742 kg",Non disponibile,Electric,Non disponibile
4 doors,Non disponibile,Non disponibile,649 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Door and centre console inserts: black piano lacquer, Interior rearview mirror, auto-darkening, Child safety lock on rear doors, Seat belt tensioning system, Power windows front and rear, Head restraints front and rear [5 pcs],, Braking system: anti-lock braking System [ABS],,, Brake system: emergency brake assist,, Light and rain sensor,, Polishing: white pastel, Isofix locking, ISOFIX mounting points rear,, Stability control: ESP [electric vehicle stabilization program],, Upholstery: leatherette, Armrest front with 2 drink holders,, Tyre pressure monitoring system,, KEYLESS-GO start function,, Anti-Traction [ASR],, Alloy wheels: 18', Traffic sign recognition system, Centre lock with remote control, Exterior rear-view mirrors electrically adjustable, heated, automatically darkened and folded, Air Conditioning [ACC] 2-zone automatic,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Spare brake light [third brake light with LED display], Spare wheel: tire repair kit instead of spare wheel,, Alarm device ,, Lane Keeping & Lane Keeping System, Cruise Control [Cruise Control], Active, Transmission: stepless automatic, Windshield rear: heated,, Power steering: speed-dependent,, Tinted windows: UV protective, Roof design: glass roof, Reversing camera, Ultrasonic parking control system front-rear, Passenger seat Airbag occupancy sensor, Seat heating: heated seats front, Crash protection: rollover protection, Anti-roll bar [Hill-Holder], Information system: Touchscreen navigation system, On-board computer, Blind spot monitor, Internet access, linguatronic [voice control], Steering wheel: height and distance adjustment, multifunction, Seats: 12-way electrically adjustable front seats, height-adjustable driver and passenger seats, Lighting: LED fog lights front, LED daytime running light",12 m,235/45 R18,6.1 seconds,2021—,Non disponibile,Rear wheel,Non disponibile,394 kg,Non disponibile,Non disponibile,Non disponibile,4 694 mm,Non disponibile,Mid-range,Sedan,Non disponibile,1.443 mm,420 Nm,"239 kW, 325 hp",Non disponibile,Non disponibile,Non disponibile,1.745 kg,Stepless automatic transmission,5 persons,1 850 mm,2 875 mm,Non disponibile,Non disponibile,225 km/h,2 139 kg,16 749 900 Ft,Gasoline,Non disponibile
